agl_thermal_conductivity_300K,agl_debye_temperature,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K
0.606733,122.022,6.38471,5.95566,8.3917e-05
0.609758,126.987,18.6467,17.8495,6.02972e-05
0.608369,153.956,49.7684,47.4127,7.05075e-05
0.609048,163.015,37.0461,35.5053,5.904e-05
0.611488,181.953,38.0982,35.4071,0.000111192
0.612643,148.072,19.1804,17.8041,8.93972e-05
0.613198,144.899,6.64653,5.94044,0.00015189
0.613988,147.036,15.7307,14.8369,8.95355e-05
0.614791,154.017,49.1979,47.4062,5.65171e-05
0.616802,193.116,37.3527,35.3161,6.70109e-05
0.619657,169.057,13.2406,11.8377,0.000144966
0.620171,174.119,31.5201,29.5422,8.63371e-05
0.620174,262.096,86.5084,81.1002,0.000106431
0.619624,136.031,28.5773,26.7488,0.00010309
0.622115,170.119,32.1758,29.5757,0.000134056
0.624874,132.943,12.5885,11.8923,7.45938e-05
0.624884,192.03,43.0275,41.2041,5.53867e-05
0.625143,195.109,38.5113,35.3326,0.00013736
0.6255,153.041,28.742,26.6871,0.000106153
0.628152,197.161,38.6621,35.3184,0.000142623
0.628641,195.087,62.1466,58.8404,8.2263e-05
0.629666,152.084,25.2449,23.7217,8.90774e-05
0.631011,194.995,29.2153,26.5038,0.000135251
0.633352,159.978,13.2717,11.8555,0.000198065
0.63492,122.037,12.3721,11.9059,6.09929e-05
0.635555,134.13,6.67341,5.94936,0.000152141
0.637437,182.154,51.1607,47.2157,0.000122296
0.637729,139.003,36.8739,35.6365,5.63874e-05
0.638899,145.97,13.3631,11.8811,0.000199925
0.6395,152.963,49.2818,47.4158,5.34628e-05
0.640132,185.048,20.1688,17.7139,0.000171872
0.640726,122.022,12.4452,11.9077,6.07004e-05
0.637071,134.019,12.4249,11.8886,5.85737e-05
0.642683,190.964,50.942,47.1298,0.0001172
0.642833,175.996,49.7907,47.2441,8.65503e-05
0.645835,122.9,6.8306,5.95905,0.00019187
0.646012,228.124,49.2215,46.7287,7.84462e-05
0.645766,247.096,86.9887,84.2274,4.43886e-05
0.647401,137.015,12.9994,11.8917,0.000140442
0.647232,241.166,86.9814,81.5516,0.000104
0.650249,148.98,15.2306,14.8241,3.67154e-05
0.651128,246.148,86.7402,81.4518,0.00010468
0.650357,185.098,29.2922,26.5539,0.000144869
0.653563,159.02,31.6383,29.6218,0.00010466
0.654112,309.806,118.479,111.349,8.68407e-05
0.654313,174.022,30.7384,29.5302,5.76503e-05
0.656952,244.078,121.548,116.331,7.50541e-05
0.658259,137.948,16.2297,14.8606,0.000136238
0.658358,336.853,156.102,147.095,7.94274e-05
0.659651,101.017,7.53033,5.97537,0.000356562
0.65872,205.015,42.8608,41.0885,6.65973e-05
0.660278,245.756,60.1666,52.4774,0.000251742
0.660005,185.114,29.3998,26.5583,0.000139487
0.66395,191.966,43.2052,41.2002,6.98144e-05
0.663363,115.97,12.3552,11.9154,5.51282e-05
0.663514,167.993,22.7964,20.7128,0.000135083
0.663915,194.096,61.0714,58.8219,4.82588e-05
